name,tapebert_mlp_pred_result_1,tapebert_mlp_pred_result_2,tapebert_mlp_pred_result_3,tapebert_mlp_pred_result_4,tapebert_mlp_pred_result_5,tapebert_mlp_pred_result_vote,tapebert_svm_pred_result_1,tapebert_svm_pred_result_2,tapebert_svm_pred_result_3,tapebert_svm_pred_result_4,tapebert_svm_pred_result_5,tapebert_svm_pred_result_vote,pssm_cnn_pred_result_1,pssm_cnn_pred_result_2,pssm_cnn_pred_result_3,pssm_cnn_pred_result_4,pssm_cnn_pred_result_5,pssm_cnn_pred_result_vote,hybrid_bilstm_pred_result_1,hybrid_bilstm_pred_result_2,hybrid_bilstm_pred_result_3,hybrid_bilstm_pred_result_4,hybrid_bilstm_pred_result_5,hybrid_bilstm_pred_result_vote
lcl|NC_012442.1_prot_WP_002966545.1_32,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.001,0.002,0.004,0.002,0.0,0.073,0.005,0.021,0.002,0.011,0.0,0.0,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_004681179.1_33,0.141,0.19,0.079,0.152,0.187,0.0,0.027,0.031,0.021,0.021,0.037,0.0,0.568,0.493,0.306,0.041,0.65,0.4,0.084,0.298,0.049,0.145,0.2,0.0
lcl|NC_012442.1_prot_WP_005972079.1_34,0.006,0.009,0.026,0.002,0.003,0.0,0.024,0.032,0.015,0.05,0.026,0.0,0.021,0.016,0.016,0.007,0.015,0.0,0.391,0.002,0.233,0.052,0.634,0.2
lcl|NC_012442.1_prot_WP_004681183.1_35,0.787,0.385,0.25,0.14,0.149,0.2,0.173,0.199,0.146,0.143,0.227,0.0,0.106,0.027,0.022,0.002,0.002,0.0,0.266,0.282,0.013,0.136,0.117,0.0
lcl|NC_012442.1_prot_WP_002968224.1_36,0.278,0.276,0.254,0.238,0.049,0.0,0.098,0.17,0.146,0.145,0.224,0.0,0.296,0.118,0.066,0.051,0.101,0.0,0.415,0.205,0.188,0.081,0.014,0.0
lcl|NC_012442.1_prot_WP_002966539.1_37,0.027,0.009,0.007,0.023,0.066,0.0,0.005,0.004,0.005,0.009,0.004,0.0,0.105,0.054,0.172,0.074,0.07,0.0,0.029,0.003,0.002,0.014,0.006,0.0
lcl|NC_012442.1_prot_WP_002966538.1_38,0.208,0.04,0.03,0.041,0.083,0.0,0.025,0.044,0.038,0.056,0.034,0.0,0.161,0.043,0.121,0.217,0.332,0.0,0.076,0.001,0.0,0.013,0.001,0.0
lcl|NC_012442.1_prot_WP_002966537.1_39,0.136,0.021,0.02,0.038,0.03,0.0,0.029,0.023,0.013,0.02,0.018,0.0,0.028,0.026,0.012,0.008,0.021,0.0,0.006,0.0,0.002,0.003,0.0,0.0
lcl|NC_012442.1_prot_WP_002966536.1_40,0.004,0.002,0.012,0.003,0.001,0.0,0.007,0.01,0.011,0.01,0.007,0.0,0.387,0.086,0.091,0.049,0.489,0.0,0.024,0.0,0.001,0.036,0.0,0.0
lcl|NC_012442.1_prot_WP_004681194.1_41,0.033,0.014,0.065,0.053,0.048,0.0,0.07,0.053,0.072,0.101,0.103,0.0,0.744,0.55,0.584,0.365,0.475,0.6,0.3,0.068,0.039,0.156,0.01,0.0
lcl|NC_012442.1_prot_WP_004685146.1_42,0.0,0.0,0.008,0.0,0.0,0.0,0.004,0.012,0.009,0.01,0.008,0.0,0.048,0.015,0.019,0.01,0.029,0.0,0.0,0.0,0.0,0.0,0.001,0.0
lcl|NC_012442.1_prot_WP_002966533.1_43,0.029,0.076,0.074,0.01,0.037,0.0,0.054,0.047,0.148,0.123,0.082,0.0,0.034,0.039,0.029,0.021,0.026,0.0,0.157,0.745,0.07,0.101,0.03,0.2
lcl|NC_012442.1_prot_WP_002966530.1_44,0.054,0.125,0.05,0.064,0.013,0.0,0.003,0.004,0.004,0.001,0.008,0.0,0.187,0.148,0.038,0.049,0.006,0.0,0.041,0.164,0.029,0.071,0.203,0.0
lcl|NC_012442.1_prot_WP_002966528.1_45,0.0,0.019,0.024,0.003,0.001,0.0,0.013,0.012,0.029,0.012,0.015,0.0,0.065,0.016,0.032,0.009,0.021,0.0,0.0,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002966527.1_46,0.0,0.001,0.007,0.0,0.0,0.0,0.079,0.048,0.053,0.074,0.057,0.0,0.077,0.046,0.073,0.024,0.036,0.0,0.006,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_004681208.1_47,0.045,0.053,0.167,0.011,0.005,0.0,0.043,0.069,0.091,0.107,0.087,0.0,0.099,0.069,0.048,0.061,0.029,0.0,0.052,0.013,0.001,0.01,0.002,0.0
lcl|NC_012442.1_prot_WP_002972210.1_48,0.0,0.0,0.015,0.0,0.0,0.0,0.013,0.007,0.015,0.01,0.013,0.0,0.13,0.059,0.048,0.031,0.193,0.0,0.002,0.0,0.001,0.007,0.0,0.0
lcl|NC_012442.1_prot_WP_002966523.1_49,0.001,0.011,0.044,0.046,0.032,0.0,0.062,0.046,0.05,0.022,0.048,0.0,0.029,0.024,0.051,0.137,0.302,0.0,0.152,0.0,0.092,0.045,0.016,0.0
lcl|NC_012442.1_prot_WP_002968227.1_50,0.007,0.018,0.03,0.01,0.004,0.0,0.052,0.06,0.062,0.032,0.066,0.0,0.565,0.549,0.276,0.414,0.092,0.4,0.024,0.025,0.009,0.122,0.043,0.0
lcl|NC_012442.1_prot_WP_004681215.1_51,0.093,0.179,0.027,0.108,0.02,0.0,0.014,0.02,0.012,0.006,0.02,0.0,0.208,0.275,0.164,0.027,0.081,0.0,0.001,0.0,0.0,0.018,0.001,0.0
lcl|NC_012442.1_prot_WP_005972055.1_52,0.0,0.0,0.005,0.0,0.0,0.0,0.006,0.009,0.005,0.007,0.011,0.0,0.112,0.09,0.052,0.089,0.057,0.0,0.003,0.0,0.0,0.01,0.0,0.0
lcl|NC_012442.1_prot_WP_004685877.1_53,0.019,0.088,0.241,0.032,0.006,0.0,0.079,0.117,0.135,0.068,0.159,0.0,0.121,0.076,0.039,0.084,0.009,0.0,0.263,0.018,0.107,0.143,0.051,0.0
lcl|NC_012442.1_prot_WP_002966518.1_54,0.023,0.05,0.084,0.034,0.018,0.0,0.039,0.026,0.04,0.041,0.033,0.0,0.084,0.031,0.017,0.039,0.023,0.0,0.003,0.001,0.001,0.024,0.003,0.0
lcl|NC_012442.1_prot_WP_002966517.1_55,0.018,0.109,0.078,0.106,0.033,0.0,0.056,0.075,0.127,0.038,0.084,0.0,0.117,0.201,0.075,0.208,0.057,0.0,0.01,0.002,0.003,0.027,0.018,0.0
lcl|NC_012442.1_prot_WP_002966516.1_56,0.013,0.103,0.122,0.049,0.062,0.0,0.081,0.073,0.05,0.113,0.064,0.0,0.297,0.258,0.051,0.077,0.433,0.0,0.018,0.063,0.011,0.11,0.096,0.0
lcl|NC_012442.1_prot_WP_004685876.1_57,0.062,0.069,0.146,0.035,0.013,0.0,0.102,0.128,0.136,0.091,0.111,0.0,0.046,0.065,0.077,0.168,0.07,0.0,0.002,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002966514.1_58,0.064,0.083,0.088,0.044,0.054,0.0,0.065,0.062,0.039,0.021,0.039,0.0,0.599,0.566,0.239,0.205,0.612,0.6,0.038,0.013,0.044,0.063,0.043,0.0
lcl|NC_012442.1_prot_WP_004685135.1_59,0.094,0.009,0.118,0.071,0.016,0.0,0.153,0.094,0.113,0.105,0.131,0.0,0.147,0.119,0.091,0.064,0.028,0.0,0.012,0.005,0.013,0.021,0.005,0.0
lcl|NC_012442.1_prot_WP_002966512.1_60,0.127,0.336,0.2,0.31,0.195,0.0,0.133,0.162,0.137,0.178,0.172,0.0,0.082,0.076,0.038,0.007,0.011,0.0,0.011,0.068,0.001,0.02,0.011,0.0
lcl|NC_012442.1_prot_WP_002967165.1_61,0.022,0.021,0.097,0.031,0.006,0.0,0.108,0.109,0.113,0.074,0.085,0.0,0.026,0.019,0.013,0.008,0.013,0.0,0.081,0.003,0.011,0.025,0.022,0.0
lcl|NC_012442.1_prot_WP_004681227.1_62,0.027,0.124,0.112,0.036,0.034,0.0,0.073,0.049,0.059,0.026,0.074,0.0,0.333,0.23,0.099,0.03,0.212,0.0,0.198,0.126,0.033,0.151,0.119,0.0
lcl|NC_012442.1_prot_WP_004685875.1_63,0.014,0.042,0.043,0.018,0.01,0.0,0.007,0.015,0.027,0.004,0.029,0.0,0.058,0.083,0.065,0.071,0.011,0.0,0.001,0.004,0.001,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_002966508.1_64,0.038,0.03,0.052,0.058,0.03,0.0,0.072,0.059,0.06,0.102,0.054,0.0,0.033,0.017,0.064,0.007,0.018,0.0,0.146,0.006,0.062,0.148,0.002,0.0
lcl|NC_012442.1_prot_WP_002968232.1_65,0.055,0.118,0.14,0.094,0.073,0.0,0.062,0.039,0.056,0.062,0.034,0.0,0.64,0.799,0.617,0.71,0.193,0.8,0.14,0.321,0.136,0.383,0.118,0.0
lcl|NC_012442.1_prot_WP_004685873.1_66,0.001,0.0,0.003,0.0,0.001,0.0,0.022,0.016,0.016,0.035,0.015,0.0,0.056,0.043,0.032,0.027,0.024,0.0,0.004,0.0,0.0,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_002966505.1_67,0.212,0.052,0.017,0.1,0.113,0.0,0.012,0.027,0.024,0.054,0.006,0.0,0.134,0.055,0.05,0.085,0.054,0.0,0.006,0.0,0.001,0.004,0.001,0.0
lcl|NC_012442.1_prot_WP_004681235.1_68,0.005,0.001,0.013,0.001,0.001,0.0,0.002,0.006,0.005,0.005,0.004,0.0,0.012,0.007,0.026,0.008,0.005,0.0,0.0,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_004681236.1_69,0.001,0.0,0.05,0.018,0.001,0.0,0.122,0.054,0.135,0.096,0.101,0.0,0.016,0.013,0.017,0.021,0.009,0.0,0.048,0.001,0.0,0.021,0.0,0.0
lcl|NC_012442.1_prot_WP_002966502.1_70,0.16,0.329,0.099,0.203,0.323,0.0,0.048,0.036,0.055,0.015,0.089,0.0,0.422,0.394,0.352,0.363,0.216,0.0,0.184,0.041,0.013,0.163,0.188,0.0
lcl|NC_012442.1_prot_WP_004685132.1_72,0.161,0.128,0.093,0.071,0.06,0.0,0.023,0.025,0.036,0.04,0.019,0.0,0.092,0.073,0.092,0.075,0.048,0.0,0.059,0.006,0.088,0.11,0.013,0.0
lcl|NC_012442.1_prot_WP_004685871.1_73,0.058,0.09,0.113,0.163,0.07,0.0,0.048,0.042,0.045,0.073,0.039,0.0,0.022,0.011,0.008,0.005,0.006,0.0,0.008,0.002,0.024,0.013,0.005,0.0
lcl|NC_012442.1_prot_WP_004685870.1_74,0.027,0.059,0.186,0.072,0.021,0.0,0.119,0.102,0.139,0.124,0.096,0.0,0.291,0.139,0.139,0.178,0.114,0.0,0.016,0.0,0.0,0.026,0.0,0.0
lcl|NC_012442.1_prot_WP_004681246.1_75,0.0,0.0,0.004,0.0,0.0,0.0,0.012,0.013,0.015,0.023,0.013,0.0,0.034,0.029,0.012,0.008,0.025,0.0,0.01,0.0,0.0,0.003,0.0,0.0
lcl|NC_012442.1_prot_WP_005974736.1_76,0.005,0.026,0.111,0.005,0.003,0.0,0.046,0.07,0.071,0.057,0.085,0.0,0.398,0.495,0.262,0.081,0.113,0.0,0.057,0.1,0.027,0.044,0.004,0.0
lcl|NC_012442.1_prot_WP_004681253.1_77,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.01,0.005,0.012,0.004,0.0,0.028,0.036,0.027,0.016,0.012,0.0,0.002,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002966493.1_78,0.041,0.174,0.098,0.021,0.011,0.0,0.022,0.029,0.019,0.026,0.029,0.0,0.517,0.5,0.377,0.226,0.325,0.4,0.113,0.126,0.027,0.054,0.012,0.0
lcl|NC_012442.1_prot_WP_002966492.1_79,0.093,0.082,0.077,0.046,0.13,0.0,0.116,0.065,0.06,0.117,0.074,0.0,0.05,0.026,0.03,0.015,0.015,0.0,0.148,0.003,0.009,0.019,0.001,0.0
lcl|NC_012442.1_prot_WP_004681258.1_80,0.004,0.005,0.008,0.011,0.003,0.0,0.013,0.01,0.016,0.006,0.015,0.0,0.106,0.02,0.035,0.022,0.07,0.0,0.001,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002966489.1_81,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.008,0.005,0.0,0.011,0.003,0.011,0.002,0.005,0.0,0.002,0.0,0.001,0.0,0.0,0.0
lcl|NC_012442.1_prot_WP_004681262.1_82,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.002,0.002,0.0,0.025,0.008,0.01,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lcl|NC_012442.1_prot_WP_004686194.1_83,0.558,0.529,0.209,0.397,0.351,0.4,0.167,0.175,0.232,0.273,0.203,0.0,0.201,0.099,0.058,0.037,0.036,0.0,0.045,0.013,0.023,0.044,0.004,0.0
lcl|NC_012442.1_prot_WP_002966486.1_84,0.008,0.045,0.16,0.076,0.006,0.0,0.018,0.04,0.051,0.065,0.021,0.0,0.203,0.045,0.259,0.213,0.478,0.0,0.016,0.01,0.028,0.023,0.003,0.0
lcl|NC_012442.1_prot_WP_004686193.1_85,0.119,0.033,0.239,0.124,0.041,0.0,0.175,0.19,0.182,0.125,0.216,0.0,0.033,0.017,0.063,0.038,0.06,0.0,0.34,0.022,0.204,0.027,0.005,0.0
lcl|NC_012442.1_prot_WP_006135546.1_86,0.014,0.022,0.042,0.013,0.009,0.0,0.035,0.044,0.059,0.038,0.033,0.0,0.065,0.08,0.063,0.018,0.051,0.0,0.012,0.001,0.001,0.006,0.001,0.0
lcl|NC_012442.1_prot_WP_002966482.1_87,0.012,0.038,0.073,0.05,0.028,0.0,0.037,0.026,0.056,0.016,0.027,0.0,0.079,0.098,0.062,0.022,0.025,0.0,0.01,0.005,0.006,0.016,0.073,0.0
lcl|NC_012442.1_prot_WP_002966481.1_88,0.017,0.061,0.114,0.04,0.051,0.0,0.056,0.076,0.062,0.088,0.059,0.0,0.086,0.069,0.048,0.012,0.043,0.0,0.003,0.0,0.0,0.006,0.0,0.0
lcl|NC_012442.1_prot_WP_004685126.1_89,0.0,0.0,0.007,0.0,0.0,0.0,0.026,0.018,0.017,0.019,0.023,0.0,0.028,0.041,0.021,0.056,0.011,0.0,0.002,0.001,0.001,0.004,0.0,0.0
lcl|NC_012442.1_prot_WP_004681278.1_90,0.0,0.0,0.01,0.0,0.0,0.0,0.009,0.014,0.005,0.005,0.006,0.0,0.023,0.008,0.008,0.014,0.005,0.0,0.03,0.001,0.001,0.021,0.0,0.0
lcl|NC_012442.1_prot_WP_004686191.1_91,0.276,0.761,0.452,0.271,0.602,0.4,0.377,0.38,0.56,0.446,0.516,0.4,0.364,0.441,0.18,0.187,0.188,0.0,0.612,0.902,0.925,0.222,0.377,0.6
lcl|NC_012442.1_prot_WP_006254461.1_92,0.001,0.004,0.083,0.02,0.001,0.0,0.06,0.075,0.118,0.065,0.088,0.0,0.033,0.048,0.01,0.015,0.024,0.0,0.113,0.033,0.018,0.085,0.011,0.0
lcl|NC_012442.1_prot_WP_004681283.1_93,0.006,0.015,0.024,0.021,0.029,0.0,0.06,0.044,0.053,0.082,0.04,0.0,0.015,0.033,0.013,0.008,0.002,0.0,0.002,0.001,0.001,0.001,0.001,0.0
lcl|NC_012442.1_prot_WP_004686189.1_94,0.034,0.004,0.027,0.024,0.015,0.0,0.019,0.013,0.016,0.025,0.019,0.0,0.301,0.273,0.146,0.297,0.247,0.0,0.235,0.03,0.041,0.072,0.086,0.0
lcl|NC_012442.1_prot_WP_004686188.1_95,0.001,0.015,0.086,0.073,0.003,0.0,0.039,0.048,0.086,0.038,0.06,0.0,0.091,0.067,0.037,0.077,0.063,0.0,0.05,0.011,0.003,0.062,0.0,0.0
lcl|NC_012442.1_prot_WP_004681289.1_96,0.045,0.189,0.038,0.109,0.077,0.0,0.052,0.041,0.047,0.05,0.022,0.0,0.059,0.077,0.044,0.055,0.059,0.0,0.076,0.406,0.05,0.038,0.008,0.0
lcl|NC_012442.1_prot_WP_004681292.1_97,0.001,0.009,0.03,0.003,0.004,0.0,0.069,0.036,0.042,0.062,0.049,0.0,0.017,0.014,0.017,0.011,0.007,0.0,0.003,0.0,0.002,0.007,0.0,0.0
lcl|NC_012442.1_prot_WP_005971995.1_98,0.147,0.12,0.037,0.132,0.105,0.0,0.036,0.043,0.021,0.041,0.015,0.0,0.603,0.816,0.509,0.319,0.854,0.8,0.506,0.167,0.264,0.228,0.294,0.2
lcl|NC_012442.1_prot_WP_004681295.1_99,0.0,0.0,0.005,0.0,0.002,0.0,0.015,0.012,0.016,0.02,0.011,0.0,0.046,0.044,0.056,0.03,0.071,0.0,0.043,0.0,0.0,0.011,0.001,0.0
lcl|NC_012442.1_prot_WP_002967175.1_100,0.0,0.016,0.02,0.001,0.003,0.0,0.022,0.007,0.012,0.015,0.016,0.0,0.01,0.023,0.013,0.008,0.004,0.0,0.011,0.152,0.044,0.113,0.004,0.0
lcl|NC_012442.1_prot_WP_004681301.1_101,0.029,0.002,0.008,0.018,0.008,0.0,0.02,0.016,0.01,0.02,0.026,0.0,0.011,0.003,0.01,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002972196.1_102,0.0,0.0,0.006,0.0,0.0,0.0,0.03,0.017,0.012,0.04,0.01,0.0,0.014,0.012,0.025,0.003,0.014,0.0,0.01,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_004681304.1_103,0.0,0.0,0.004,0.0,0.0,0.0,0.027,0.015,0.013,0.035,0.011,0.0,0.019,0.006,0.014,0.007,0.031,0.0,0.002,0.0,0.0,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_004681306.1_104,0.027,0.103,0.131,0.084,0.01,0.0,0.08,0.083,0.136,0.044,0.215,0.0,0.134,0.031,0.115,0.08,0.25,0.0,0.008,0.0,0.001,0.008,0.0,0.0
lcl|NC_012442.1_prot_WP_004681308.1_106,0.0,0.017,0.057,0.007,0.001,0.0,0.025,0.037,0.043,0.048,0.026,0.0,0.015,0.013,0.013,0.025,0.015,0.0,0.009,0.003,0.079,0.013,0.0,0.0
lcl|NC_012442.1_prot_WP_004686186.1_107,0.03,0.002,0.021,0.015,0.073,0.0,0.035,0.043,0.015,0.02,0.034,0.0,0.065,0.016,0.015,0.01,0.031,0.0,0.001,0.0,0.001,0.007,0.001,0.0
lcl|NC_012442.1_prot_WP_002966461.1_108,0.017,0.077,0.113,0.034,0.061,0.0,0.146,0.105,0.155,0.175,0.083,0.0,0.084,0.119,0.074,0.043,0.063,0.0,0.002,0.002,0.002,0.005,0.001,0.0
lcl|NC_012442.1_prot_WP_002966460.1_109,0.004,0.021,0.062,0.024,0.015,0.0,0.06,0.034,0.051,0.049,0.057,0.0,0.039,0.049,0.017,0.053,0.021,0.0,0.038,0.011,0.008,0.04,0.023,0.0
lcl|NC_012442.1_prot_WP_004685118.1_110,0.348,0.453,0.145,0.308,0.292,0.0,0.038,0.039,0.081,0.052,0.057,0.0,0.371,0.368,0.253,0.361,0.176,0.0,0.283,0.8,0.148,0.184,0.678,0.4
lcl|NC_012442.1_prot_WP_004681320.1_111,0.012,0.003,0.012,0.003,0.001,0.0,0.007,0.019,0.018,0.024,0.016,0.0,0.18,0.054,0.058,0.014,0.021,0.0,0.019,0.001,0.008,0.008,0.003,0.0
lcl|NC_012442.1_prot_WP_002966456.1_113,0.045,0.009,0.069,0.014,0.027,0.0,0.033,0.052,0.019,0.048,0.016,0.0,0.031,0.008,0.028,0.019,0.028,0.0,0.008,0.001,0.007,0.048,0.001,0.0
lcl|NC_012442.1_prot_WP_004686184.1_114,0.3,0.344,0.242,0.023,0.328,0.0,0.057,0.164,0.061,0.171,0.078,0.0,0.748,0.844,0.68,0.16,0.74,0.8,0.061,0.006,0.07,0.018,0.074,0.0
